track_id,track_name,artist_name,artist_genres,album_name,track_popularity,explicit,track_duration_min,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0tMSssfxAL2oV8Vri0mFHE,listen before i go,Billie Eilish,"alternative pop, electropop, dark pop","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",75,False,4.04,0.319,0.0561,-23.023,0.045,0.935,0.00384,0.388,0.082,79.764
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),Meek Mill,rap,Championships,73,True,3.0,0.889,0.496,-6.365,0.0905,0.259,0.0,0.252,0.544,86.003
3P3pw6C19j31Rnzgo3JG7o,Perfect Strangers,Jonas Blue,tropical house,Blue,76,False,3.27,0.73,0.861,-4.1,0.0451,0.39,0.0,0.213,0.704,117.965
4t9vB7wIKWE5jIhjcztmmd,Iris,Pastel Ghost,"witch house, darkwave",Ethereality,70,False,3.63,0.534,0.855,-7.578,0.0342,0.00043,0.893,0.0996,0.601,117.987
6Up545NUflOiXo8cEraH49,You Say,Lauren Daigle,"christian, worship, ccm, christian pop",Look Up Child,74,False,4.57,0.494,0.632,-6.89,0.0342,0.682,0.0,0.0869,0.0797,147.873
7BqHUALzNBTanL6OvsqmC1,Happier,Marshmello,edm,Happier,81,False,3.57,0.687,0.792,-2.749,0.0452,0.191,0.0,0.167,0.671,100.011
0c0YHn3DIQLl1opsQDd9kO,Wish (feat. Trippie Redd) - Trippie Mix,Diplo,moombahton,LIFE'S A TRIP,82,True,2.94,0.565,0.819,-7.899,0.0668,0.232,0.0,0.111,0.682,94.011
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,rap,ASTROWORLD,82,True,5.21,0.834,0.73,-3.714,0.222,0.00513,0.0,0.124,0.446,155.008
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,rap,ASTROWORLD,82,True,5.21,0.834,0.73,-3.714,0.222,0.00513,0.0,0.124,0.446,155.008
48QmG1dfvMuYLxMPt7KSRA,No Lie,Sean Paul,dancehall,Mad Love The Prequel,83,False,3.68,0.742,0.882,-2.862,0.117,0.0466,0.0,0.206,0.463,102.04
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,"alternative pop, electropop, dark pop",lovely (with Khalid),87,False,3.33,0.351,0.296,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284
2ZRo7axmMPeSVUvDbGkJah,Hope,XXXTENTACION,emo rap,?,81,True,1.84,0.592,0.457,-6.081,0.0603,0.661,0.000331,0.146,0.225,146.04
0JP9xo3adEtGSdUEISiszL,Moonlight,XXXTENTACION,emo rap,?,82,True,2.25,0.921,0.537,-5.723,0.0804,0.556,0.00404,0.102,0.711,128.009
2BOqDYLOJBiMOXShCV1neZ,Dancing On My Own,Calum Scott,soft pop,Only Human (Deluxe),80,False,4.33,0.681,0.174,-8.745,0.0315,0.837,3.35e-05,0.0983,0.231,112.672
5PjdC2gMATetx5xdnwGUu7,i wanna be your girlfriend,girl in red,bedroom pop,i wanna be your girlfriend,74,True,3.41,0.541,0.382,-14.323,0.035,0.0215,0.000836,0.304,0.343,155.901
09IStsImFySgyp0pIQdqAc,The Middle,Zedd,edm,The Middle,77,False,3.07,0.753,0.657,-3.061,0.0449,0.171,0.0,0.112,0.437,107.01
5GorCbAP4aL0EJ16frG2hd,Boulevard of Broken Dreams,Green Day,"punk, pop punk",Greatest Hits: God's Favorite Band,72,True,4.37,0.496,0.682,-4.095,0.0294,0.00552,2.94e-05,0.0589,0.474,167.06
5TXDeTFVRVY7Cvt0Dw4vWW,Revenge,XXXTENTACION,emo rap,17,81,True,2.0,0.746,0.251,-16.169,0.259,0.782,0.00203,0.106,0.18,139.999
7AQim7LbvFVZJE3O8TYgf2,Fuck Love,XXXTENTACION,emo rap,17,82,True,2.44,0.797,0.533,-9.74,0.0412,0.0172,0.000152,0.103,0.329,131.036
7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,Lil Uzi Vert,melodic rap,Luv Is Rage 2,80,True,3.04,0.732,0.75,-6.366,0.231,0.00264,0.0,0.109,0.401,155.096
7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,Lil Uzi Vert,melodic rap,Luv Is Rage 2,80,True,3.04,0.732,0.75,-6.366,0.231,0.00264,0.0,0.109,0.401,155.096
0VgkVdmE4gld66l8iyGjgx,Mask Off,Future,rap,FUTURE,80,True,3.41,0.833,0.434,-8.795,0.431,0.0102,0.0219,0.165,0.281,150.062
0VgkVdmE4gld66l8iyGjgx,Mask Off,Future,rap,FUTURE,80,True,3.41,0.833,0.434,-8.795,0.431,0.0102,0.0219,0.165,0.281,150.062
0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,Cigarettes After Sex,dream pop,Cigarettes After Sex,15,False,4.84,0.369,0.468,-9.013,0.0273,0.0205,0.566,0.109,0.18,94.434
1IF5UcqRO42D12vYwceOY6,From the Dining Table,Harry Styles,"pop rock, soft rock, synthpop",Harry Styles,69,False,3.53,0.671,0.156,-16.288,0.0371,0.804,0.0518,0.113,0.201,94.08
0w5Bdu51Ka25Pf3hojsKHh,Hard Times,Paramore,"pop punk, emo",After Laughter,78,False,3.04,0.695,0.818,-5.379,0.0334,0.00647,4.87e-06,0.0219,0.916,119.965
2R4AlwtrrkMaRKojcTIzmL,For the First Time,Mac DeMarco,"indie, lo-fi indie",This Old Dog,82,False,3.03,0.551,0.529,-10.469,0.0517,0.296,0.0093,0.178,0.521,75.515
5mCPDVBb16L4XQwDdbRUpz,Passionfruit,Drake,rap,More Life,85,True,4.98,0.809,0.463,-11.377,0.0396,0.256,0.085,0.109,0.364,111.98
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,soft pop,÷ (Deluxe),88,False,4.39,0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,soft pop,÷ (Deluxe),88,False,3.89,0.825,0.652,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,soft pop,÷ (Deluxe),88,False,3.89,0.825,0.652,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977
6uBhi9gBXWjanegOb2Phh0,Stay,Zedd,edm,Stay,76,False,3.5,0.69,0.622,-5.025,0.0622,0.253,0.0,0.116,0.544,102.04
5yuShbu70mtHXY0yLzCQLQ,Go Flex,Post Malone,"pop, hip hop, country",Stoney (Deluxe),73,True,2.99,0.665,0.498,-8.185,0.083,0.23,0.0,0.0757,0.127,81.958
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,soft pop,Back from the Edge,85,False,3.52,0.358,0.557,-7.398,0.059,0.695,0.0,0.0902,0.494,85.043
23L5CiUhw2jV1OIMwthR3S,In the Name of Love,Martin Garrix,"edm, progressive house, electronica",In the Name of Love,78,False,3.26,0.501,0.519,-5.88,0.0409,0.109,0.0,0.454,0.168,133.99
0azC730Exh71aQlOt9Zj3y,This Is What You Came For,Calvin Harris,edm,This Is What You Came For,78,False,3.7,0.631,0.927,-2.787,0.0332,0.199,0.119,0.148,0.465,123.962
0azC730Exh71aQlOt9Zj3y,This Is What You Came For,Calvin Harris,edm,This Is What You Came For,78,False,3.7,0.631,0.927,-2.787,0.0332,0.199,0.119,0.148,0.465,123.962
5kqIPrATaCc2LqxVWzQGbk,7 Years,Lukas Graham,dansk pop,Lukas Graham,83,False,3.95,0.765,0.473,-5.829,0.0514,0.287,0.0,0.391,0.34,119.992
2YWjW3wwQIBLNhxWKBQd16,Lean On (feat. MØ & DJ Snake),Major Lazer,moombahton,Peace Is The Mission : Extended,69,False,2.94,0.723,0.809,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007
